Reference, Value, Footprint, Datasheet
"U4","74LS244","Housings_DIP:DIP-20_W7.62mm",""
"U1","XC2018-PC84","Sockets:PLCC84",""
"J2","C96ABC","Connectors:C96ABCMD",""
"R2","4.7k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","4.7k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"X1","ACO-36MHz","Oscillators:Oscillator_DIP-14",""
"U2","74F521","Housings_DIP:DIP-20_W7.62mm",""
"RN1","47x3","Resistors_THT:R_Array_SIP6",""
"RN2","47x3","Resistors_THT:R_Array_SIP6",""
"RN3","47x4","Resistors_THT:R_Array_SIP8",""
"RN4","47x4","Resistors_THT:R_Array_SIP8",""
"U5","42C4064","",""
"U6","42C4064","",""
"U7","42C4064","",""
"U8","42C4064","",""
"J1","CONN_02X10","Connectors:IDC_Header_Straight_20pins",""
"C1","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C2","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C3","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"X2","ACO-50.35MHz","Oscillators:Oscillator_DIP-14",""
"X3","ACO-57.2832MHz","Oscillators:Oscillator_DIP-14",""
"R4","4.7k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R1","4.7k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C4","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C5","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C6","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C7","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C8","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"U3","74AHCT1G00","TO_SOT_Packages_SMD:SOT-23-5",""
"U9","TPS2030","Housings_DIP:DIP-8_W7.62mm",""
"C9","0.1uF","Capacitors_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
